id,PartyName,VoteCount
150,Republican,165
205,Republican,166
220,Republican,159
505,Republican,201
7760,Republican,195
150,Republican,572
205,Republican,598
220,Republican,595
505,Republican,750
7755,Republican,633
150,Republican,103
205,Republican,108
220,Republican,116
505,Republican,132
7755,Republican,118
150,Republican,43
205,Republican,54
220,Republican,51
475,Republican,65
6805,Republican,47
150,Republican,610
205,Republican,764
220,Republican,808
475,Republican,842
7760,Republican,992
150,Republican,676
205,Republican,785
220,Republican,879
475,Republican,896
6805,Republican,366
7760,Republican,560
7780,Republican,528
150,Republican,597
205,Republican,739
220,Republican,834
475,Republican,919
6805,Republican,755
7780,Republican,1238
150,Republican,551
205,Republican,696
220,Republican,755
475,Republican,799
6805,Republican,677
7760,Republican,10
7780,Republican,975
150,Republican,453
205,Republican,581
220,Republican,649
475,Republican,692
6805,Republican,591
7780,Republican,944
150,Republican,28
205,Republican,55
220,Republican,48
475,Republican,97
6805,Republican,49
150,Republican,65
205,Republican,104
220,Republican,89
475,Republican,120
6805,Republican,104
150,Republican,263
205,Republican,418
220,Republican,338
475,Republican,424
6805,Republican,355
150,Republican,334
205,Republican,499
220,Republican,431
475,Republican,486
6805,Republican,444
150,Republican,338
205,Republican,565
220,Republican,435
475,Republican,558
6805,Republican,483
150,Republican,232
205,Republican,279
220,Republican,293
475,Republican,369
6805,Republican,293
7780,Republican,2
150,Republican,159
205,Republican,260
220,Republican,207
475,Republican,277
6805,Republican,233
150,Republican,287
205,Republican,440
220,Republican,368
475,Republican,437
6805,Republican,385
150,Republican,97
205,Republican,120
220,Republican,128
475,Republican,169
6805,Republican,132
150,Republican,89
205,Republican,99
220,Republican,88
475,Republican,119
6805,Republican,89
150,Republican,139
205,Republican,164
220,Republican,196
475,Republican,241
6805,Republican,183
150,Republican,132
205,Republican,166
220,Republican,202
475,Republican,218
6805,Republican,189
150,Republican,128
205,Republican,190
220,Republican,223
475,Republican,233
6805,Republican,201
150,Republican,67
205,Republican,85
220,Republican,101
475,Republican,113
6805,Republican,91
150,Republican,150
205,Republican,193
220,Republican,232
475,Republican,270
6805,Republican,212
150,Republican,174
205,Republican,213
220,Republican,239
475,Republican,262
6805,Republican,219
150,Republican,431
205,Republican,506
220,Republican,510
475,Republican,599
505,Republican,0
6805,Republican,501
7755,Republican,0
150,Republican,266
205,Republican,330
220,Republican,325
475,Republican,383
6805,Republican,311
150,Republican,159
205,Republican,198
220,Republican,233
475,Republican,246
6805,Republican,224
150,Republican,162
205,Republican,244
220,Republican,275
475,Republican,280
6805,Republican,260
150,Republican,126
205,Republican,199
220,Republican,223
475,Republican,232
6805,Republican,191
150,Republican,118
205,Republican,146
220,Republican,159
475,Republican,155
6805,Republican,139
150,Republican,139
205,Republican,168
220,Republican,176
475,Republican,193
6805,Republican,165
150,Republican,429
205,Republican,585
220,Republican,673
475,Republican,703
6805,Republican,620
7780,Republican,938
150,Republican,148
205,Republican,176
220,Republican,193
475,Republican,207
6805,Republican,181
150,Republican,242
205,Republican,304
220,Republican,309
475,Republican,374
6805,Republican,301
150,Republican,148
205,Republican,185
220,Republican,191
475,Republican,216
6805,Republican,185
150,Republican,105
205,Republican,113
220,Republican,143
475,Republican,142
6805,Republican,125
150,Republican,180
205,Republican,204
220,Republican,235
475,Republican,254
6805,Republican,223
150,Republican,133
205,Republican,147
220,Republican,176
475,Republican,207
6805,Republican,151
150,Republican,155
205,Republican,186
220,Republican,181
475,Republican,242
6805,Republican,180
150,Republican,332
205,Republican,403
220,Republican,474
475,Republican,499
6805,Republican,425
7780,Republican,664
150,Republican,384
205,Republican,497
220,Republican,552
475,Republican,613
6805,Republican,520
7780,Republican,828
150,Republican,662
205,Republican,806
220,Republican,852
475,Republican,990
6805,Republican,379
7760,Republican,684
150,Republican,291
205,Republican,335
220,Republican,361
475,Republican,421
6805,Republican,339
150,Republican,260
205,Republican,334
220,Republican,365
475,Republican,402
6805,Republican,313
7780,Republican,548
150,Republican,500
205,Republican,573
220,Republican,637
475,Republican,711
6805,Republican,189
7760,Republican,624
150,Republican,430
205,Republican,552
220,Republican,619
475,Republican,672
6805,Republican,552
7780,Republican,855
150,Republican,256
205,Republican,338
220,Republican,369
475,Republican,402
7760,Republican,561
150,Republican,82
205,Republican,94
220,Republican,100
475,Republican,108
7760,Republican,125
150,Republican,438
205,Republican,448
220,Republican,445
505,Republican,513
6805,Republican,434
7780,Republican,517
150,Republican,139
205,Republican,146
220,Republican,139
505,Republican,170
6805,Republican,152
7780,Republican,172
150,Republican,222
205,Republican,224
220,Republican,228
505,Republican,262
7755,Republican,241
150,Republican,133
205,Republican,143
220,Republican,145
505,Republican,181
7760,Republican,174
